系列,球列數,dr,公差,D,公差,L,公差,B,公差,D1,W,逕向跳動, C(kgf), Co(kgf)
KB3,4,3,0~+0.008,7,0~-0.009,10,0~-0.12,,,,,0.010,7,11
KB4,4,4,0~+0.008,8,0~-0.009,12,0~-0.12,,,,,0.010,9,13
KB5,4,5,0~+0.008,12,0~-0.009,22,0~-0.20,14.5,0~-0.20,11.5,1.1,0.012,21,21
KB8,4,8,0~+0.008,16,0~-0.009,25,0~-0.20,16.5,0~-0.20,15.2,1.1,0.012,27,41
KB10,4,10,0~+0.008,19,0~-0.009,29,0~-0.20,22,0~-0.20,18,1.3,0.012,38,47
KB12,4,12,0~+0.008,22,0~-0.009,32,0~-0.20,22.9,0~-0.20,21,1.3,0.012,52,79
KB16,5,16,+0.009~-0.001,26,0~-0.009,36,0~-0.20,24.9,0~-0.20,24.9,1.3,0.012,59,91
KB20,5,20,+0.009~-0.001,32,0~-0.011,45,0~-0.20,31.5,0~-0.20,30.3,1.6,0.015,88,140
KB25,6,25,+0.011~-0.001,40,0~-0.011,58,0~-0.30,44.1,0~-0.30,37.5,1.85,0.015,100,160
KB30,6,30,+0.011~-0.001,47,0~-0.011,68,0~-0.30,52.1,0~-0.30,44.5,1.85,0.015,160,280
KB40,6,40,+0.013~-0.002,62,0~-0.013,80,0~-0.30,60.6,0~-0.30,59,2.15,0.017,220,400
KB50,6,50,+0.013~-0.002,75,0~-0.013,100,0~-0.30,77.6,0~-0.30,72,2.65,0.017,390,810
KB60,6,60,+0.013~-0.002,90,0~-0.015,125,0~-0.30,101.7,0~-0.40,86.5,3.15,0.025,480,1020